,filepath,xmin,xmax,ymin,ymax
0,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N1.xml,1093,1396,645,727
1,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N100.xml,134,301,312,350
2,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N101.xml,31,139,128,161
3,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N102.xml,164,316,216,243
4,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N103.xml,813,1067,665,724
5,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N104.xml,66,154,166,197
6,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N105.xml,360,434,174,195
7,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N106.xml,137,262,249,290
8,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N107.xml,207,356,174,287
9,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N108.xml,184,342,220,257
10,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N109.xml,148,239,250,320
11,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N11.xml,131,187,130,144
12,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N110.xml,183,249,211,227
13,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N111.xml,80,239,364,402
14,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N112.xml,179,347,256,290
15,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N113.xml,39,108,129,157
16,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N114.xml,15,200,33,126
17,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N116.xml,157,316,226,278
18,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N117.xml,120,249,161,202
19,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N118.xml,532,852,636,706
20,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N119.xml,180,559,216,314
21,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N12.xml,976,1284,669,754
22,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N120.xml,647,736,332,387
23,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N121.xml,311,506,324,370
24,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N122.xml,342,494,243,288
25,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N123.xml,11,246,78,165
26,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N124.xml,165,328,276,324
27,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N126.xml,149,399,269,327
